group_effect,ind_effect,group_effect_norm,ind_effect_norm,sa_rank
0.7320075223148,0.0124820942643251,0.983234025047012,0.0167659749529878,180
0.691952444370856,0.00914920407429498,0.986950245952801,0.013049754047199,179
0.742960136111716,0.0154091887314819,0.9796811550432,0.0203188449567998,124
0.732448879825531,0.00461260855065948,0.993741894504865,0.00625810549513508,162
0.755818566307191,0.0144315254460985,0.981263844560864,0.0187361554391361,106
0.754038871713182,0.00312890063082827,0.995867625716369,0.00413237428363062,129.5
0.732143806475512,0.0182658716538435,0.975658800537625,0.0243411994623753,137
0.776083166874048,0.00932931532957637,0.988121763352422,0.0118782366475781,111
0.776676030242703,0.00401107135875323,0.994862126772013,0.00513787322798743,104.5
0.667720967047271,0.00546444473416041,0.99188270476673,0.00811729523327015,167
0.579880977747185,0.040877341850449,0.93414934514781,0.0658506548521896,234
